fold,model,train_size,test_size,n_features_train,n_minority_train,best_params,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,avg_precision,tn,fp,fn,tp
10,LogisticRegression,148,37,7334,81,"{""selector__kbest__k"": 20, ""clf__C"": 1.0}",0.6549452221415671,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,1.0,1.0000000000000002,17,0,1,19
11,LogisticRegression,148,37,7334,80,"{""selector__kbest__k"": 75, ""clf__C"": 0.2}",0.6063706376383458,0.9459459459459459,0.9523809523809523,1.0,0.9047619047619048,0.95,0.9940476190476191,0.995859213250518,16,0,2,19
12,LogisticRegression,148,37,7334,81,"{""selector__kbest__k"": 75, ""clf__C"": 0.2}",0.6621008276046481,0.918918918918919,0.925,1.0,0.85,0.918918918918919,1.0,1.0000000000000002,17,0,3,17
13,LogisticRegression,148,37,7334,81,"{""selector__kbest__k"": 75, ""clf__C"": 2.0}",0.8045242092656787,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
14,LogisticRegression,148,37,7334,81,"{""selector__kbest__k"": 30, ""clf__C"": 1.0}",0.7012959793605014,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,1.0,1.0000000000000002,17,0,1,19
15,LogisticRegression,148,37,7334,81,"{""selector__kbest__k"": 20, ""clf__C"": 0.1}",0.5263718801287871,0.918918918918919,0.925,1.0,0.85,0.918918918918919,1.0,1.0000000000000002,17,0,3,17
1,RandomForest,148,37,7334,80,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 50, ""clf__n_estimators"": 100, ""clf__min_samples_leaf"": 2, ""clf__max_depth"": 5}",0.5669768249890175,0.9459459459459459,0.9523809523809523,1.0,0.9047619047619048,0.95,1.0,1.0000000000000002,16,0,2,19
2,RandomForest,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 50, ""clf__n_estimators"": 100, ""clf__min_samples_leaf"": 2, ""clf__max_depth"": 5}",0.5961983615236232,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,1.0,1.0000000000000002,17,0,1,19
3,RandomForest,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 20, ""clf__n_estimators"": 100, ""clf__min_samples_leaf"": 2, ""clf__max_depth"": 5}",0.5393897037643627,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,1.0,1.0000000000000002,17,0,1,19
4,RandomForest,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__min_samples_leaf"": 1, ""clf__max_depth"": 3}",0.5760444344521913,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
5,RandomForest,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 50, ""clf__n_estimators"": 100, ""clf__min_samples_leaf"": 2, ""clf__max_depth"": 5}",0.5831874313653226,0.9459459459459459,0.9455882352941176,0.95,0.95,0.95,0.9970588235294118,0.9976190476190478,16,1,1,19
6,RandomForest,148,37,7334,80,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 50, ""clf__n_estimators"": 100, ""clf__min_samples_leaf"": 2, ""clf__max_depth"": 5}",0.6902667702370138,0.918918918918919,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.9940476190476191,0.9955679241393529,16,0,3,18
7,RandomForest,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__min_samples_leaf"": 1, ""clf__max_depth"": 3}",0.6036027229064383,0.9459459459459459,0.9455882352941176,0.95,0.95,0.95,0.9941176470588236,0.9954545454545455,16,1,1,19
8,RandomForest,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__min_samples_leaf"": 1, ""clf__max_depth"": 3}",0.6197611132828105,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,0.9941176470588234,0.9954545454545456,17,0,1,19
9,RandomForest,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__min_samples_leaf"": 1, ""clf__max_depth"": 3}",0.6807669297377575,0.9459459459459459,0.95,1.0,0.9,0.9473684210526315,1.0,1.0000000000000002,17,0,2,18
10,RandomForest,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 50, ""clf__n_estimators"": 100, ""clf__min_samples_leaf"": 2, ""clf__max_depth"": 5}",0.6341751900682273,0.9459459459459459,0.95,1.0,0.9,0.9473684210526315,0.9970588235294118,0.9976190476190477,17,0,2,18
11,RandomForest,148,37,7334,80,"{""selector__l1__estimator__C"": 0.1, ""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__min_samples_leaf"": 1, ""clf__max_depth"": 5}",0.7388796490997158,0.9459459459459459,0.9523809523809523,1.0,0.9047619047619048,0.95,0.9851190476190477,0.9901133786848073,16,0,2,19
12,RandomForest,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__min_samples_leaf"": 1, ""clf__max_depth"": 3}",0.6715701061789041,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,0,0,20
13,RandomForest,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__min_samples_leaf"": 1, ""clf__max_depth"": 3}",0.5797549531149054,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
14,RandomForest,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 50, ""clf__n_estimators"": 100, ""clf__min_samples_leaf"": 2, ""clf__max_depth"": 5}",0.5561402122074189,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
15,RandomForest,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 20, ""clf__n_estimators"": 100, ""clf__min_samples_leaf"": 2, ""clf__max_depth"": 5}",0.5790938834675695,0.8648648648648649,0.8705882352941177,0.9411764705882353,0.8,0.8648648648648649,0.9882352941176471,0.9897096908939016,16,1,4,16
1,GradientBoosting,148,37,7334,80,"{""selector__kbest__k"": 100, ""clf__n_estimators"": 200, ""clf__max_depth"": 2, ""clf__learning_rate"": 0.05}",0.9627973107234941,0.8378378378378378,0.8571428571428572,1.0,0.7142857142857143,0.8333333333333334,1.0,1.0000000000000004,16,0,6,15
2,GradientBoosting,148,37,7334,81,"{""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__max_depth"": 2, ""clf__learning_rate"": 0.03}",0.9413467569233576,0.8918918918918919,0.9,1.0,0.8,0.8888888888888888,1.0,1.0000000000000002,17,0,4,16
3,GradientBoosting,148,37,7334,81,"{""selector__kbest__k"": 100, ""clf__n_estimators"": 200, ""clf__max_depth"": 2, ""clf__learning_rate"": 0.05}",0.9529272458056588,0.9459459459459459,0.95,1.0,0.9,0.9473684210526315,0.9970588235294117,0.9976190476190476,17,0,2,18
4,GradientBoosting,148,37,7334,81,"{""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__max_depth"": 2, ""clf__learning_rate"": 0.05}",0.9999999359916653,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,0,0,20
5,GradientBoosting,148,37,7334,81,"{""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__max_depth"": 3, ""clf__learning_rate"": 0.05}",0.9998853295124609,0.8648648648648649,0.875,1.0,0.75,0.8571428571428571,1.0,1.0000000000000002,17,0,5,15
6,GradientBoosting,148,37,7334,80,"{""selector__kbest__k"": 20, ""clf__n_estimators"": 200, ""clf__max_depth"": 2, ""clf__learning_rate"": 0.1}",0.9981847096881599,0.8108108108108109,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9910714285714286,0.9935916395543729,16,0,7,14
7,GradientBoosting,148,37,7334,81,"{""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__max_depth"": 2, ""clf__learning_rate"": 0.03}",0.986597877812626,0.8918918918918919,0.9,1.0,0.8,0.8888888888888888,0.9911764705882352,0.9924874686716791,17,0,4,16
8,GradientBoosting,148,37,7334,81,"{""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__max_depth"": 2, ""clf__learning_rate"": 0.1}",0.9999999541105155,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,1.0,1.0,17,0,1,19
9,GradientBoosting,148,37,7334,81,"{""selector__kbest__k"": 100, ""clf__n_estimators"": 400, ""clf__max_depth"": 2, ""clf__learning_rate"": 0.05}",0.9999999352503142,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,1.0,1.0,17,0,1,19
10,GradientBoosting,148,37,7334,81,"{""selector__kbest__k"": 20, ""clf__n_estimators"": 200, ""clf__max_depth"": 2, ""clf__learning_rate"": 0.05}",0.9536243734789372,0.9459459459459459,0.95,1.0,0.9,0.9473684210526315,0.9970588235294118,0.9976190476190476,17,0,2,18
11,GradientBoosting,148,37,7334,80,"{""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__max_depth"": 2, ""clf__learning_rate"": 0.1}",0.9999917101649096,0.8648648648648649,0.8809523809523809,1.0,0.7619047619047619,0.8648648648648649,0.9821428571428572,0.9878364389233956,16,0,5,16
12,GradientBoosting,148,37,7334,81,"{""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__max_depth"": 2, ""clf__learning_rate"": 0.05}",0.9992775755559873,0.918918918918919,0.925,1.0,0.85,0.918918918918919,1.0,1.0000000000000002,17,0,3,17
13,GradientBoosting,148,37,7334,81,"{""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__max_depth"": 2, ""clf__learning_rate"": 0.05}",0.9999999526405772,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,1.0,1.0,17,0,1,19
14,GradientBoosting,148,37,7334,81,"{""selector__kbest__k"": 100, ""clf__n_estimators"": 400, ""clf__max_depth"": 2, ""clf__learning_rate"": 0.05}",0.9956213146273757,0.8918918918918919,0.9,1.0,0.8,0.8888888888888888,1.0,1.0000000000000002,17,0,4,16
15,GradientBoosting,148,37,7334,81,"{""selector__kbest__k"": 20, ""clf__n_estimators"": 400, ""clf__max_depth"": 3, ""clf__learning_rate"": 0.05}",0.9999817812361873,0.8918918918918919,0.9,1.0,0.8,0.8888888888888888,0.9882352941176471,0.9897096908939016,17,0,4,16
